doi,theory_id,theory,title,year,"Q1: Does the paper/theory suggest an aging biomarker (i.e. measurable entity reflecting the pace of aging or organism health state, associated with mortality or age-related conditions)?",Q2: Does the paper/theory suggest a molecular mechanism of aging?,Q3: Does the paper/theory suggest a longevity intervention to test?,Q4: Does the paper/theory claim that aging cannot be reversed? (Yes / No),Q5: Does the paper/theory suggest a biomarker that explains differences in maximum lifespan between species? (Yes / No),Q6: Does the paper/theory explain why the naked mole rat can live 40+ years despite its small size?,Q7: Does the paper/theory explain why birds live much longer than mammals on average?,Q8: Does the paper/theory explain why large animals live longer than small ones?,Q9: Does the paper/theory explain why calorie restriction increases the lifespan of vertebrates?
10.1001/archneur.1997.00550220042012,T0098,Neurotransmitter Receptor Signaling Decline,Excitotoxic neurodegeneration in Alzheimer disease. New hypothesis and new therapeutic strategies.,1997,No,Yes,Yes,No,No,No,No,No,No
10.1001/archneur.63.4.491,T1649,Neural Activity Regulation Theory,Effects of anticonvulsant drugs on life span.,2006,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1001/archotol.1997.01900100009001,T0331,Membrane Lipid Composition and Peroxidation Theory,Mitochondrial DNA deletions associated with aging and presbyacusis.,1997,"Yes, but not shown",Yes,No,No,No,No,No,No,No
10.1001/archsurg.138.10.1051,T0498,Genetic Programmed Longevity and Aging Regulation Theories,Molecular biology of aging.,2003,"Yes, but not shown",Yes,No,No,No,No,No,No,No
10.1001/jama.2025.11289,T0714,Senolytic and Immune Clearance-Based Cellular Senescence Theory,Geroscience: A Translational Review.,2025,"Yes, but not shown",Yes,Yes,No,No,No,No,No,Yes
10.1001/jama.279.21.1732,T0269,Replicative Senescence and Telomerase Regulation Theory,Telomerase and the aging cell: implications for human health.,1998,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1001/jama.295.13.1539,T0638,Metabolic Reprogramming and Energy Substrate Shift CR Theories,"Effect of 6-month calorie restriction on biomarkers of longevity, metabolic adaptation, and oxidative stress in overweight individuals: a randomized controlled trial.",2006,"Yes, but not shown",No,Yes,No,No,No,No,No,Yes
10.1001/jama.297.9.986,T1046,Dietary Restriction and Calorie Restriction Theories,"Aging, adiposity, and calorie restriction.",2007,"Yes, but not shown",No,Yes,No,No,No,No,No,Yes
10.1001/jama.299.11.1345,T1342,Genetic and Epigenetic Interaction Mechanisms,Epigenetics at the epicenter of modern medicine.,2008,"Yes, but not shown",Yes,No,No,No,No,No,No,No
10.1001/jamanetworkopen.2020.0023,T1069,Telomere Length as Biomarker and Lifespan Limit Theory,Association of Leukocyte Telomere Length With Mortality Among Adult Participants in 3 Longitudinal Studies.,2020,"Yes, quantitatively shown",Yes,No,No,No,No,No,No,No
10.1001/jamanetworkopen.2024.0655,T0148,Rate of Biological Aging Theory,"Educational Mobility, Pace of Aging, and Lifespan Among Participants in the Framingham Heart Study.",2024,"Yes, quantitatively shown",Yes,Yes,No,No,No,No,No,Yes
10.1001/jamaneurol.2013.1459,T0239,Epigenetic Regulation of Tissue-Specific Functional Decline,Epigenetic determinants of healthy and diseased brain aging and cognition.,2013,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1001/jamaneurol.2014.1428,T0001,Mitochondrial ROS-Induced Free Radical Theory,Influence of lifestyle modifications on age-related free radical injury to brain.,2014,"Yes, quantitatively shown",Yes,Yes,No,No,No,No,No,No
10.1001/jamaneurol.2015.1616,T2056,Systemic Aging and Inter-Organ Communication Theory,Blood-Borne Revitalization of the Aged Brain.,2015,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1001/jamaneurol.2025.1734,T0063,Amyloid Cascade Hypothesis,Amyloid-Beta Pathology and Cognitive Performance in Centenarians.,2025,"Yes, but not shown",Yes,Yes,No,No,No,No,No,No
10.1001/jamaoncol.2021.1160,T1972,Damage Accumulation and Biological Aging Theory,Applying a Life Course Biological Age Framework to Improving the Care of Individuals With Adult Cancers: Review and Research Recommendations.,2021,"Yes, but not shown",No,No,No,No,No,No,No,No
10.1002/(SICI)1097-0029(19981001)43:1<1::AID-JEMT1>3.0.CO;2-E,T0001,Mitochondrial ROS-Induced Free Radical Theory,Histology and histochemistry of the aging cerebral cortex: an overview.,1998,"Yes, but not shown",Yes,No,No,No,No,No,No,No
10.1002/(SICI)1097-0061(199910)15:14<1511::AID-YEA482>3.0.CO;2-Y,T2023,Asymmetric Division and Aging Theory,Replicative ageing in the fission yeast Schizosaccharomyces pombe.,1999,"Yes, but not shown",Yes,No,No,No,No,No,No,No
10.1002/(SICI)1097-4652(199711)173:2<266::AID-JCP33>3.0.CO;2-B,T0110,Telomere Attrition and Cellular Senescence Theory,Telomerase in human development and cancer.,1997,"Yes, but not shown",Yes,No,No,No,No,No,No,No
10.1002/(SICI)1097-4652(199907)180:1<46::AID-JCP5>3.0.CO;2-K,T0010,Telomere Shortening and Replicative Senescence Theory,Telomerase activation in human fibroblasts during escape from crisis.,1999,"Yes, but not shown",Yes,No,No,No,No,No,No,No
10.1002/(SICI)1098-1063(1997)7:6<602::AID-HIPO3>3.0.CO;2-G,T0025,Calcium Dysregulation Theory,Age-associated changes in Ca(2+)-dependent processes: relation to hippocampal synaptic plasticity.,1997,"Yes, but not shown",Yes,No,No,No,No,No,No,No
10.1002/(SICI)1098-2744(199908)25:4<241::AID-MC2>3.0.CO;2-9,T0603,Telomerase-Mediated Telomere Stabilization and Apoptosis Resistance Theory,Resistance to apoptosis in human cells conferred by telomerase function and telomere stability.,1999,"Yes, quantitatively shown",Yes,Yes,No,No,No,No,No,No
10.1002/(SICI)1520-6300(1998)10:4<409::AID-AJHB2>3.0.CO;2-B,T0598,Declining Natural Selection Force and Mutation Accumulation Evolutionary Theory,"Evolution of human lifespan: Past, future, and present.",1998,"Yes, but not shown",No,Yes,No,Yes,No,No,Yes,Yes
